Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
02-17-15,127.489998,128.880005,126.919998,127.830002,63152400,122.905254,106.7410520,117.9276670,129.1142810,Increasing
02-18-15,127.629997,128.779999,127.449997,128.720001,44891700,123.760965,107.842423,118.9403330,130.0382440,Increasing
02-19-15,128.479996,129.029999,128.330002,128.449997,37362400,123.501363,108.8942450,119.8891670,130.8840890,Decreasing
02-20-15,128.619995,129.5,128.050003,129.5,48948400,124.510914,109.7854490,120.7635000,131.7415510,Increasing
02-23-15,130.020004,133,129.660004,133,70974100,127.876074,110.3725160,121.7201670,133.0678170,Increasing
02-24-15,132.940002,133.600006,131.169998,132.169998,69228100,127.078049,111.0948690,122.6648340,134.2347980,Decreasing
02-25-15,131.559998,131.600006,128.149994,128.789993,74711700,123.828261,113.2119180,123.6296670,134.0474150,Decreasing
02-26-15,128.789993,130.869995,126.610001,130.419998,91287500,125.395469,114.1652990,124.2823330,134.3993670,Increasing
02-27-15,130,130.570007,128.240005,128.460007,62014800,123.510987,114.9668480,124.8426670,134.7184850,Decreasing
03-02-15,129.25,130.279999,128.300003,129.089996,48096700,124.116706,115.8770900,125.4036670,134.9302430,Decreasing
03-03-15,128.960007,129.520004,128.089996,129.360001,37816300,124.376308,116.9535130,125.9551670,134.9568200,Increasing
03-04-15,129.100006,129.559998,128.320007,128.539993,31666300,123.587892,118.0874250,126.4730000,134.8585750,Decreasing
03-05-15,128.580002,128.75,125.760002,126.410004,56517100,121.539962,119.1048310,126.848667,134.5925030,Decreasing
03-06-15,128.399994,129.369995,126.260002,126.599998,72842100,121.722637,120.190797,127.2288330,134.26687,Decreasing
03-09-15,127.959999,129.570007,125.059998,127.139999,88528500,122.241834,121.6289770,127.631167,133.6333570,Decreasing
03-10-15,126.410004,127.220001,123.800003,124.510002,68856600,119.71316,123.1164760,127.9235000,132.7305250,Decreasing
03-11-15,124.75,124.769997,122.110001,122.239998,68939000,117.530609,123.592756,128.0033340,132.4139110,Decreasing
03-12-15,122.309998,124.900002,121.629997,124.449997,48362700,119.655466,123.4894560,127.9813340,132.4732110,Increasing
03-13-15,124.400002,125.400002,122.580002,123.589996,51827300,118.828598,123.045606,127.8490000,132.6523950,Decreasing
03-16-15,123.879997,124.949997,122.870003,124.949997,35874300,120.136203,122.6967020,127.7283340,132.7599650,Increasing
03-17-15,125.900002,127.32,125.650002,127.040001,51023100,122.145688,122.616033,127.6680000,132.7199670,Increasing
03-18-15,127,129.160004,126.370003,128.470001,65270900,123.520597,122.6064500,127.652167,132.6978840,Increasing
03-19-15,128.75,129.25,127.400002,127.5,45809500,122.587966,122.5939030,127.6245000,132.6550980,Decreasing
03-20-15,128.25,128.399994,125.160004,125.900002,68695100,121.049608,122.4865930,127.4980000,132.5094080,Decreasing
03-23-15,127.120003,127.849998,126.519997,127.209999,37709700,122.309137,122.6741700,127.2633340,131.8524970,Increasing
03-24-15,127.230003,128.039993,126.559998,126.690002,32842300,121.809174,123.0410180,127.0025000,130.9639820,Decreasing
03-25-15,126.540001,126.82,123.379997,123.379997,51655200,118.626689,122.8276390,126.7531670,130.6786940,Decreasing
03-26-15,122.760002,124.879997,122.599998,124.239998,47572900,119.453558,122.5538520,126.4835000,130.4131480,Increasing
03-27-15,124.57,124.699997,122.910004,123.25,39546200,118.5017,122.2826500,126.2100000,130.1373490,Decreasing
03-30-15,124.050003,126.400002,124,126.370003,47099700,121.501502,122.346906,126.0283330,129.7097600,Increasing
03-31-15,126.089996,126.489998,124.360001,124.43,42090600,119.63624,122.395242,125.8335000,129.2717580,Decreasing
04-01-15,124.82,125.120003,123.099998,124.25,40621400,119.463174,122.3761270,125.6010000,128.8258720,Decreasing
04-02-15,125.029999,125.559998,124.190002,125.32,32220100,120.491951,122.3330340,125.5035000,128.673966,Increasing
04-06-15,124.470001,127.510002,124.330002,127.349998,37194000,122.443743,122.374816,125.4528330,128.5308510,Increasing
04-07-15,127.639999,128.119995,125.980003,126.010002,35012300,121.155371,122.4030620,125.4251670,128.4472710,Decreasing
04-08-15,125.849998,126.400002,124.970001,125.599998,37329200,120.761163,122.4277130,125.4491660,128.4706190,Decreasing
04-09-15,125.849998,126.580002,124.660004,126.559998,32484000,121.684177,122.7775360,125.5938330,128.4101310,Increasing
04-10-15,125.949997,127.209999,125.260002,127.099998,40188000,122.203374,123.0398910,125.7370000,128.4341090,Increasing
04-13-15,128.369995,128.570007,126.610001,126.849998,36365100,121.963006,123.272819,125.9113330,128.5498480,Decreasing
04-14-15,127,127.290001,125.910004,126.300003,25524600,121.434199,123.487134,126.0235000,128.5598660,Decreasing
04-15-15,126.410004,127.129997,126.010002,126.779999,28970400,121.895703,123.4871300,126.0220000,128.5568700,Increasing
04-16-15,126.279999,127.099998,126.110001,126.169998,28369000,121.309203,123.5664040,125.945,128.3235960,Decreasing
04-17-15,125.550003,126.139999,124.459999,124.75,51957000,119.943911,123.6022690,125.7983330,127.9943970,Decreasing
04-20-15,125.57,128.119995,125.169998,127.599998,47054300,122.684112,123.5867450,125.8221660,128.0575880,Increasing
04-21-15,128.100006,128.199997,126.669998,126.910004,32435100,122.020699,123.5817270,125.8255000,128.069273,Decreasing
04-22-15,126.989998,128.869995,126.32,128.619995,37654500,123.664812,123.5019780,125.8675000,128.2330210,Increasing
04-23-15,128.300003,130.419998,128.139999,129.669998,45770900,124.674363,123.3716820,126.1116660,128.8516510,Increasing
04-24-15,130.490005,130.630005,129.229996,130.279999,44525900,125.260863,123.3764700,126.4186670,129.4608630,Decreasing
04-27-15,132.309998,133.130005,131.149994,132.649994,96954200,127.539552,123.128271,126.8531660,130.5780620,Increasing
04-28-15,134.460007,134.539993,129.570007,130.559998,118924000,125.530074,122.9533690,127.1515000,131.3496300,Decreasing
04-29-15,130.160004,131.589996,128.300003,128.639999,63386100,123.684046,123.165847,127.372333,131.578819,Decreasing
04-30-15,128.639999,128.639999,124.580002,125.150002,83195400,120.328503,123.4832180,127.4706660,131.4581150,Decreasing
05-01-15,126.099998,130.130005,125.300003,128.949997,58512600,123.9821,123.7928680,127.6258330,131.4587980,Increasing
05-04-15,129.5,130.570007,128.259995,128.699997,50988300,123.741732,123.9186430,127.764833,131.6110230,Decreasing
05-05-15,128.149994,128.449997,125.779999,125.800003,49271400,120.953462,123.91582,127.7635000,131.6111790,Decreasing
05-06-15,126.559998,126.75,123.360001,125.010002,72141000,120.193897,123.8088190,127.7326660,131.6565130,Decreasing
05-07-15,124.769997,126.080002,124.019997,125.260002,43940900,120.93733,123.6785660,127.6920000,131.705433,Increasing
05-08-15,126.68,127.620003,126.110001,127.620003,55550400,123.215888,123.7345410,127.7216660,131.7087920,Increasing
05-11-15,127.389999,127.559998,125.629997,126.32,42035800,121.960747,123.6599200,127.6796660,131.6994120,Decreasing
05-12-15,125.599998,126.879997,124.82,125.870003,48160000,121.526279,123.5804900,127.6474990,131.7145080,Increasing
05-13-15,126.150002,127.190002,125.870003,126.010002,34694200,121.661447,123.5504420,127.633333,131.7162240,Decreasing
05-14-15,127.410004,128.949997,127.160004,128.949997,45203500,124.499984,123.6706010,127.7280000,131.7853990,Increasing
05-15-15,129.070007,129.490005,128.210007,128.770004,38208000,124.326203,124.0144570,127.9133330,131.8122090,Decreasing
05-18-15,128.380005,130.720001,128.360001,130.190002,50882900,125.697198,124.100497,128.0530000,132.0055030,Increasing
05-19-15,130.690002,130.880005,129.639999,130.070007,44633200,125.581344,124.1588770,128.1998340,132.2407910,Decreasing
05-20-15,130,130.979996,129.339996,130.059998,36454900,125.571679,124.1850090,128.3093340,132.4336590,Increasing
05-21-15,130.070007,131.630005,129.830002,131.389999,39730400,126.855783,124.1273820,128.3863340,132.6452860,Increasing
05-22-15,131.600006,132.970001,131.399994,132.539993,45596000,127.966091,123.9598960,128.499167,133.0384380,Increasing
05-26-15,132.600006,132.910004,129.119995,129.619995,70697600,125.146861,124.1087610,128.411167,132.7135730,Decreasing
05-27-15,130.339996,132.259995,130.050003,132.039993,45833200,127.483346,124.1188010,128.4058340,132.6928660,Increasing
05-28-15,131.860001,131.949997,131.100006,131.779999,30733300,127.232324,124.0226210,128.5108340,132.999046,Decreasing
05-29-15,131.229996,131.449997,129.899994,130.279999,50884500,125.784088,124.300709,128.7318330,133.1629580,Decreasing
06-01-15,130.279999,131.389999,130.050003,130.539993,32112800,126.03511,124.3594990,128.8585000,133.3575000,Increasing
06-02-15,129.860001,130.660004,129.320007,129.960007,33667600,125.475139,124.3747460,128.8986670,133.4225880,Increasing
06-03-15,130.660004,130.940002,129.899994,130.119995,30889400,125.629606,124.6367700,129.0808340,133.524897,Decreasing
06-04-15,129.580002,130.580002,128.910004,129.360001,38450100,124.895839,125.2683800,129.3096670,133.3509540,Decreasing
06-05-15,129.5,129.690002,128.360001,128.649994,35626800,124.210334,125.9332750,129.4986670,133.064059,Decreasing
06-08-15,128.899994,129.210007,126.830002,127.800003,52674800,123.389676,126.0685550,129.5401670,133.0117790,Decreasing
06-09-15,126.699997,128.080002,125.620003,127.419998,56075400,123.022785,126.1824910,129.5670000,132.9515090,Increasing
06-10-15,127.919998,129.339996,127.849998,128.880005,39087300,124.432408,126.7463820,129.708667,132.6709520,Increasing
06-11-15,129.179993,130.179993,128.479996,128.589996,35390900,124.152407,127.2892580,129.845,132.4007420,Decreasing
06-12-15,128.190002,128.330002,127.110001,127.169998,36886200,122.781413,127.131001,129.8041670,132.4773320,Decreasing
06-15-15,126.099998,127.239998,125.709999,126.919998,43988900,122.54004,126.7060980,129.6941660,132.6822350,Increasing
06-16-15,127.029999,127.849998,126.370003,127.599998,31494100,123.196574,126.4016900,129.5700000,132.7383100,Increasing
06-17-15,127.720001,127.879997,126.739998,127.300003,32918100,122.906931,126.1238850,129.4254990,132.727114,Decreasing
06-18-15,127.230003,128.309998,127.220001,127.879997,35407200,123.46691,125.9515600,129.3093330,132.6671060,Increasing
06-19-15,127.709999,127.82,126.400002,126.599998,54716900,122.231083,125.6885660,129.1088330,132.5291000,Decreasing
06-22-15,127.489998,128.059998,127.080002,127.610001,34039300,123.206231,125.7264210,128.8728330,132.0192450,Increasing
06-23-15,127.480003,127.610001,126.879997,127.029999,30268900,122.646244,125.5733480,128.7040000,131.8346510,Decreasing
06-24-15,127.209999,129.800003,127.120003,128.110001,55280900,123.688976,125.6811980,128.5486670,131.4161350,Increasing
06-25-15,128.860001,129.199997,127.5,127.5,31938100,123.100026,125.8677150,128.3715000,130.8752840,Decreasing
06-26-15,127.669998,127.989998,126.510002,126.75,44066800,122.375908,125.8452620,128.1985,130.5517380,Decreasing
06-29-15,125.459999,126.470001,124.480003,124.529999,49161400,120.232518,125.5007070,127.9235000,130.3462940,Decreasing
06-30-15,125.57,126.120003,124.860001,125.43,44370700,121.101461,125.2434910,127.6980000,130.1525090,Decreasing
07-01-15,126.900002,126.940002,125.989998,126.599998,30238800,122.231083,125.319636,127.5075,129.6953640,Decreasing
07-02-15,126.43,126.690002,125.769997,126.440002,27211000,122.076609,125.3221030,127.3416670,129.3612300,Increasing
07-06-15,124.940002,126.230003,124.849998,126,28060400,121.65179,125.172968,127.1813330,129.1896990,Increasing
07-07-15,125.889999,126.150002,123.769997,125.690002,46946800,121.352491,124.8939060,127.0441660,129.194427,Decreasing
07-08-15,124.480003,124.639999,122.540001,122.57,60761600,118.340158,124.1418970,126.8546660,129.5674350,Decreasing
07-09-15,123.849998,124.059998,119.220001,120.07,77821600,115.926432,122.9127430,126.4760000,130.0392570,Decreasing
07-10-15,121.940002,123.849998,121.209999,123.279999,61354500,119.025655,122.4632750,126.1608330,129.8583910,Increasing
07-13-15,125.029999,125.760002,124.32,125.660004,41440500,121.323527,122.3846330,126.0463330,129.7080330,Increasing
07-14-15,126.040001,126.370003,125.040001,125.610001,31768100,121.27525,122.343664,125.9988340,129.6540030,Decreasing
07-15-15,125.720001,127.150002,125.580002,126.82,33649200,122.443492,122.3439160,125.9610000,129.5780850,Increasing
07-16-15,127.739998,128.570007,127.349998,128.509995,36222400,124.075166,122.3059900,126.0028340,129.699677,Increasing
07-17-15,129.080002,129.619995,128.309998,129.619995,46164700,125.146861,122.1959650,126.0718330,129.9477020,Increasing
07-20-15,130.970001,132.970001,130.699997,132.070007,58900200,127.512324,121.6892040,126.3205000,130.9517960,Increasing
07-21-15,132.850006,132.919998,130.320007,130.75,76756400,126.23787,121.4079710,126.5078340,131.6076960,Decreasing
07-22-15,121.989998,125.5,121.989998,125.220001,115450600,120.898709,121.1778140,126.3610000,131.5441870,Increasing
07-23-15,126.199997,127.089996,125.059998,125.160004,50999500,120.840782,121.1251690,126.2323330,131.3394980,Decreasing
07-24-15,125.32,125.739998,123.900002,124.5,42162300,120.203555,120.989315,126.0646670,131.1400190,Decreasing
07-27-15,123.089996,123.610001,122.120003,122.769997,44455500,118.533253,120.6120010,125.8521670,131.0923330,Decreasing
07-28-15,123.379997,123.910004,122.550003,123.379997,33618100,119.122203,120.4054680,125.7581670,131.1108650,Increasing
07-29-15,123.150002,123.5,122.269997,122.989998,37011700,118.745662,120.1369620,125.6306670,131.1243710,Decreasing
07-30-15,122.32,122.57,121.709999,122.370003,33628300,118.147063,119.7438840,125.4160000,131.0881160,Increasing
07-31-15,122.599998,122.639999,120.910004,121.300003,42885000,117.113989,119.2925000,125.1818340,131.0711670,Decreasing
08-03-15,121.5,122.57,117.519997,118.440002,69976000,114.352685,118.4943030,124.8726670,131.2510310,Decreasing
08-04-15,117.419998,117.699997,113.25,114.639999,124138600,110.683819,116.7313040,124.3723330,132.0133630,Decreasing
08-05-15,112.949997,117.440002,112.099998,115.400002,99312600,111.417594,115.2932320,123.9588330,132.6244350,Increasing
08-06-15,115.970001,116.5,114.120003,115.129997,52903000,111.66005,114.2686040,123.6655000,133.0623960,Decreasing
08-07-15,114.580002,116.25,114.5,115.519997,38670400,112.038295,113.2383280,123.2976670,133.3570050,Increasing
08-10-15,116.529999,119.989998,116.529999,119.720001,54951600,116.111714,112.7672570,122.9726670,133.1780770,Increasing
08-11-15,117.809998,118.18,113.330002,113.489998,97082800,110.069479,111.7495120,122.439,133.1284880,Decreasing
08-12-15,112.529999,115.419998,109.629997,115.239998,101217500,111.766735,110.5837960,121.7846670,132.9855360,Increasing
08-13-15,116.040001,116.400002,114.540001,115.150002,48535800,111.679451,110.0107500,121.1456670,132.2805840,Decreasing
08-14-15,114.32,116.309998,114.010002,115.959999,42929500,112.465036,109.7007660,120.4578330,131.2149010,Increasing
08-17-15,116.040001,117.650002,115.5,117.160004,40884700,113.628873,110.2193370,119.7006670,129.1819970,Increasing
08-18-15,116.43,117.440002,116.010002,116.5,34560700,112.988761,111.057582,118.9666670,126.8757510,Increasing
08-19-15,116.099998,116.519997,114.68,115.010002,47445700,111.543671,110.8596080,118.5250000,126.190392,Decreasing
08-20-15,114.080002,114.349998,111.629997,112.650002,68501600,109.2548,110.6016940,117.8803330,125.1589720,Decreasing
08-21-15,110.43,111.900002,105.650002,105.760002,128275500,102.572461,109.2092550,117.0331670,124.8570790,Decreasing
08-24-15,94.870003,108.800003,92,103.120003,162206300,100.012029,105.9911030,115.9568340,125.9225640,Increasing
08-25-15,111.110001,111.110001,103.5,103.739998,103601600,100.613338,104.8512270,115.0986670,125.3461060,Decreasing
08-26-15,107.089996,109.889999,105.050003,109.690002,96774600,106.384013,104.3580550,114.363167,124.3682790,Increasing
08-27-15,112.230003,113.239998,110.019997,112.919998,84616100,109.516659,104.4853750,113.8553340,123.2252920,Increasing
08-28-15,112.169998,113.309998,111.540001,113.290001,53164400,109.87551,104.7374170,113.4101670,122.0829160,Increasing
08-31-15,112.029999,114.529999,112,112.760002,56229300,109.361485,104.8807640,113.0895000,121.298236,Increasing
09-01-15,110.150002,111.879997,107.360001,107.720001,76845900,104.473386,104.4437540,112.7790000,121.114246,Decreasing
09-02-15,110.230003,112.339996,109.129997,112.339996,61888800,108.954138,104.2974030,112.5935000,120.8895970,Increasing
09-03-15,112.489998,112.779999,110.040001,110.370003,53233900,107.043519,104.1557510,112.3841670,120.6125820,Decreasing
09-04-15,108.970001,110.449997,108.510002,109.269997,49996300,105.976666,103.8818510,112.0835,120.2851490,Increasing
09-08-15,111.75,112.559998,110.32,112.309998,54843600,108.925043,104.1221380,111.7326670,119.3431950,Increasing
09-09-15,113.760002,114.019997,109.769997,110.150002,85010800,106.830148,104.0861410,111.5483330,119.0105250,Decreasing
09-10-15,110.269997,113.279999,109.900002,112.57,62892800,109.177209,104.0577890,111.4726670,118.8875440,Increasing
09-11-15,111.790001,114.209999,111.760002,114.209999,49915500,110.76778,104.1180020,111.3741670,118.6303320,Increasing
09-14-15,116.580002,116.889999,114.860001,115.309998,58363400,111.834625,104.1011360,111.3871670,118.6731970,Decreasing
09-15-15,115.93,116.529999,114.419998,116.279999,43341200,112.775391,104.1890890,111.3358330,118.4825770,Increasing
09-16-15,116.25,116.540001,115.440002,116.410004,37173500,112.901478,104.2372110,111.3098330,118.3824550,Increasing
09-17-15,115.660004,116.489998,113.720001,113.919998,64112600,110.486519,104.2767350,111.2751660,118.2735980,Decreasing
09-18-15,112.209999,114.300003,111.870003,113.449997,74285300,110.030684,104.2766730,111.2916670,118.3066600,Increasing
09-21-15,113.669998,115.370003,113.660004,115.209999,50222000,111.73764,104.666951,111.6405000,118.6140490,Increasing
09-22-15,113.379997,114.18,112.519997,113.400002,50346200,109.982195,107.1040190,112.2435000,117.3829810,Increasing
09-23-15,113.629997,114.720001,113.300003,114.32,35756700,110.874465,108.2882860,112.6433330,116.9983800,Increasing
09-24-15,113.25,115.5,112.370003,115,50219500,111.533971,109.0475650,112.9473330,116.847101,Increasing
09-25-15,116.440002,116.690002,114.019997,114.709999,56151900,111.25271,109.1116700,113.1013330,117.090996,Decreasing
09-28-15,113.849998,114.57,112.440002,112.440002,52109000,109.05113,109.1374590,113.1231670,117.1088740,Decreasing
09-29-15,112.830002,113.510002,107.860001,109.059998,73365400,105.772996,108.7833180,112.9755000,117.1676820,Decreasing
09-30-15,110.169998,111.540001,108.730003,110.300003,66473000,106.975629,109.0444830,113.0356670,117.0268500,Increasing
10-01-15,109.07,109.620003,107.309998,109.580002,63929100,106.277328,108.5812030,112.9140000,117.246798,Increasing
10-02-15,108.010002,111.010002,107.550003,110.379997,58019800,107.053212,108.3483740,112.843167,117.3379600,Increasing
10-05-15,109.879997,111.370003,109.07,110.779999,52064700,107.441158,108.5314400,112.8930000,117.2545610,Increasing
10-06-15,110.629997,111.739998,109.769997,111.309998,48196800,107.955183,108.4365670,112.8535000,117.2704330,Increasing
10-07-15,111.739998,111.769997,109.410004,110.779999,46765600,107.441158,108.3485140,112.8205000,117.2924870,Decreasing
10-08-15,110.190002,110.190002,108.209999,109.5,61979600,106.199737,107.9731430,112.6896670,117.406191,Decreasing
10-09-15,110,112.279999,109.489998,112.120003,52766100,108.740775,107.8423980,112.5848340,117.3272700,Increasing
10-12-15,112.730003,112.75,111.440002,111.599998,30467200,108.236443,107.8680870,112.3970000,116.9259140,Decreasing
10-13-15,110.82,112.449997,110.68,111.790001,33049300,108.420719,107.9236130,112.1918340,116.4600550,Increasing
10-14-15,111.290001,111.519997,109.559998,110.209999,44462400,106.888337,107.9810480,111.9068340,115.8326190,Decreasing
10-15-15,110.93,112.099998,110.489998,111.860001,37673500,108.488609,108.0344360,111.7455000,115.4565650,Increasing
10-16-15,111.779999,112,110.529999,111.040001,39232600,107.693323,107.9887070,111.6446670,115.3006270,Decreasing
10-19-15,110.800003,111.75,110.110001,111.730003,29759200,108.36253,108.0973480,111.4671670,114.8369850,Increasing
10-20-15,111.339996,114.169998,110.82,113.769997,48778800,110.341039,108.1200470,111.4448330,114.76962,Increasing
10-21-15,114,115.580002,113.699997,113.760002,41795200,110.331345,108.0929290,111.4565000,114.8200710,Decreasing
10-22-15,114.330002,115.5,114.099998,115.5,41654100,112.018901,107.9920840,111.4936670,114.9952500,Increasing
10-23-15,116.699997,119.230003,116.330002,119.080002,59366900,115.491004,107.341724,111.6473340,115.9529430,Increasing
10-26-15,118.080002,118.129997,114.919998,115.279999,66333800,111.80553,107.1068230,111.7953330,116.4838440,Decreasing
10-27-15,115.400002,116.540001,113.989998,114.550003,69884400,111.097536,107.2139280,112.0395,116.8650720,Decreasing
10-28-15,116.93,119.300003,116.059998,119.269997,85551400,115.675272,107.0023180,112.4405000,117.8786820,Increasing
10-29-15,118.699997,120.690002,118.269997,120.529999,51227300,116.897299,106.9330460,112.9901660,119.047287,Increasing
10-30-15,120.989998,121.220001,119.449997,119.5,49365300,115.898343,106.9261150,113.5106660,120.0952180,Decreasing
11-02-15,120.800003,121.360001,119.610001,121.18,32203300,117.527709,106.9021450,114.0261660,121.1501880,Increasing
11-03-15,120.790001,123.489998,120.699997,122.57,45519000,118.875815,106.77492,114.591833,122.4087460,Increasing
11-04-15,123.129997,123.82,121.620003,122,44886100,118.322995,106.8736710,115.1831660,123.4926620,Decreasing
11-05-15,121.849998,122.690002,120.18,120.919998,39552700,117.777553,107.5297970,115.7813330,124.0328700,Decreasing
11-06-15,121.110001,121.809998,120.620003,121.059998,33042300,117.913914,107.9749630,116.2746660,124.5743700,Decreasing
11-09-15,120.959999,121.809998,120.050003,120.57,33871400,117.43665,108.4461120,116.7186660,124.9912210,Decreasing
11-10-15,116.900002,118.07,116.059998,116.769997,59127900,113.735401,109.0474210,116.9850000,124.9225790,Decreasing
11-11-15,116.370003,117.419998,115.209999,116.110001,45218000,113.092557,109.9149740,117.2758330,124.6366920,Decreasing
11-12-15,116.260002,116.82,115.650002,115.720001,32525600,112.712693,110.608755,117.5048330,124.4009110,Decreasing
11-13-15,115.199997,115.57,112.269997,112.339996,45812400,109.420527,111.0642120,117.6150000,124.1657870,Decreasing
11-16-15,111.379997,114.239998,111,114.18,38106700,111.212713,111.4959630,117.7121660,123.9283690,Increasing
11-17-15,114.919998,115.050003,113.32,113.690002,27616900,110.735449,111.7039560,117.7671670,123.8303770,Decreasing
11-18-15,115.760002,117.489998,115.5,117.290001,46674700,114.241891,112.0084460,117.8878330,123.7672200,Increasing
11-19-15,117.639999,119.75,116.760002,118.779999,43295800,115.693167,112.3234730,118.0576660,123.7918600,Increasing
11-20-15,119.199997,119.919998,118.849998,119.300003,34287100,116.199658,112.3528430,118.114833,123.8768240,Increasing
11-23-15,119.269997,119.730003,117.339996,117.75,32482500,114.689936,112.5348640,118.2230000,123.9111350,Decreasing
11-24-15,117.330002,119.349998,117.120003,118.879997,42803200,115.790567,112.8982870,118.3941660,123.8900460,Increasing
11-25-15,119.209999,119.230003,117.919998,118.029999,21388300,114.962658,112.9081010,118.4033330,123.8985650,Decreasing
11-27-15,118.290001,118.410004,117.599998,117.809998,13046400,114.748374,112.8501050,118.3088330,123.767561,Decreasing
11-30-15,117.989998,119.410004,117.75,118.300003,39180300,115.225646,112.8295550,118.2303330,123.6311110,Increasing
12-01-15,118.75,118.809998,116.860001,117.339996,34852400,114.290588,112.795765,118.0780000,123.3602350,Decreasing
12-02-15,117.339996,118.110001,116.080002,116.279999,33386600,113.258137,112.863291,117.8065000,122.7497090,Decreasing
12-03-15,116.550003,116.790001,114.220001,115.199997,41569500,112.206202,112.9006080,117.4526670,122.0047260,Decreasing
12-04-15,115.290001,119.25,115.110001,119.029999,57777000,115.936671,113.0697610,117.2793330,121.488905,Increasing
12-07-15,118.980003,119.860001,117.809998,118.279999,32084200,115.206161,113.2786210,117.1536660,121.0287120,Decreasing
12-08-15,117.519997,118.599998,116.860001,118.230003,34309500,115.157465,113.4912170,117.0080000,120.5247830,Increasing
12-09-15,117.639999,117.690002,115.080002,115.620003,46361400,112.615293,113.4285690,116.9661670,120.5037640,Decreasing
